id,farm,sample,item,antibiotic,inhibition,sensitivity,microbe
1,Bangwe,Vegetable,Rape ,AMP,6,R,Klebsiella pneumoniae
1,Bangwe,Vegetable,Rape ,GM,7,R,Klebsiella pneumoniae
1,Bangwe,Vegetable,Rape ,ATM,3,R,Pasteurella Spp
1,Bangwe,Vegetable,Rape ,GM,5,R,Pasteurella Spp
1,Bangwe,Vegetable,Rape ,CRO,20,S,Pasteurella Spp
1,Bangwe,Vegetable,Rape ,AMP,6,R,Pasteurella Spp
2,Chigumula,Vegetable, Amaranthus,SXT,6,R,Klebsiella pneumoniae
2,Chigumula,Vegetable, Amaranthus,CIP,26,S,Klebsiella pneumoniae
2,Chigumula,Vegetable, Amaranthus,TGC,20,S,Klebsiella pneumoniae
2,Chigumula,Vegetable, Amaranthus,CTX,19,R,Klebsiella pneumoniae
2,Chigumula,Vegetable, Amaranthus,AMP,6,R,Klebsiella pneumoniae
2,Chigumula,Vegetable, Amaranthus,GM,6,R,Klebsiella pneumoniae
2,Chigumula,Vegetable, Amaranthus,ATM,30,S,Pasteurella Spp
2,Chigumula,Vegetable, Amaranthus,GM,7,R,Pasteurella Spp
2,Chigumula,Vegetable, Amaranthus,CRO,36,S,Pasteurella Spp
2,Chigumula,Vegetable, Amaranthus,AMP,8,R,Pasteurella Spp
2,Chigumula,Vegetable, Amaranthus,ATM,30,S,Pasteurella Spp
2,Chigumula,Vegetable, Amaranthus,SXT,8,R,Pasteurella Spp
2,Chigumula,Vegetable, Amaranthus,GM,0,R,Pasteurella Spp
2,Chigumula,Vegetable, Amaranthus,VAN,0,R,Pasteurella Spp
2,Chigumula,Vegetable, Amaranthus,CRO,36,S,Pasteurella Spp
2,Chigumula,Vegetable, Amaranthus,CIP,32,S,Pasteurella Spp
2,Chigumula, Manure, Chicken manure,ATM,24,S,Acinetobacter Spp
2,Chigumula, Manure, Chicken manure,SXT,0,R,Acinetobacter Spp
2,Chigumula, Manure, Chicken manure,GM,21,S,Acinetobacter Spp
2,Chigumula, Manure, Chicken manure,VAN,0,R,Acinetobacter Spp
2,Chigumula, Manure, Chicken manure,CRO,14,I,Acinetobacter Spp
2,Chigumula, Manure, Chicken manure,CIP,23,S,Acinetobacter Spp
2,Chigumula, Manure, Chicken manure,SXT,25,S,E. coli
2,Chigumula, Manure, Chicken manure,CIP,32,S,E. coli
2,Chigumula, Manure, Chicken manure,TGC,19,S,E. coli
2,Chigumula, Manure, Chicken manure,CTX,14,S,E. coli
2,Chigumula, Manure, Chicken manure,AMP,21,S,E. coli
2,Chigumula, Manure, Chicken manure,GM,7,R,E. coli
2,Chigumula,Vegetable, Chinese Cabbage,SXT,6,R,Raoultella ornitholytica
2,Chigumula,Vegetable, Chinese Cabbage,CIP,25,S,Raoultella ornitholytica
2,Chigumula,Vegetable, Chinese Cabbage,TGC,18,S,Raoultella ornitholytica
2,Chigumula,Vegetable, Chinese Cabbage,CTX,23,S,Raoultella ornitholytica
2,Chigumula,Vegetable, Chinese Cabbage,AMP,9,R,Raoultella ornitholytica
2,Chigumula,Vegetable, Chinese Cabbage,GM,20,S,Raoultella ornitholytica
2,Chigumula,Soil, Farm soil,SXT,6,R,Klebsiella pneumoniae
2,Chigumula,Soil, Farm soil,CIP,23,I,Klebsiella pneumoniae
2,Chigumula,Soil, Farm soil,TGC,28,S,Klebsiella pneumoniae
2,Chigumula,Soil, Farm soil,CTX,6,R,Klebsiella pneumoniae
2,Chigumula,Soil, Farm soil,AMP,7,R,Klebsiella pneumoniae
2,Chigumula,Soil, Farm soil,GM,6,R,Klebsiella pneumoniae
2,Chigumula,Soil, Farm soil,ATM,0,R,Pseudomonas Spp
2,Chigumula,Soil, Farm soil,CTX,19,R,Pseudomonas Spp
2,Chigumula,Soil, Farm soil,GM,25,S,Pseudomonas Spp
2,Chigumula,Soil, Farm soil,CRO,18,I,Pseudomonas Spp
2,Chigumula,Soil, Farm soil,CIP,26,S,Pseudomonas Spp
2,Chigumula,Vegetable, Rape,SXT,6,R,Klebsiella pneumoniae
2,Chigumula,Vegetable, Rape,CIP,24,S,Klebsiella pneumoniae
2,Chigumula,Vegetable, Rape,TGC,25,S,Klebsiella pneumoniae
